G,W,WIN_PER,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POWER,TRAIN
4,-1,-0.12225705329153602,10.200000000000003,3.6000000000000085,0.07150000000000001,-0.6000000000000014,4.5,-1.2999999999999972,2.0,0.7000000000000028,4.5,-3.1000000000000014,5.300000000000004,-1.6000000000000014,3.6000000000000014,1.3999999999999986,4.199999999999996,0.6000000000000085,3.6,-7,1,1.0
-2,-2,-0.02251082251082248,2.5,-1.1000000000000085,0.05180000000000007,-3.8000000000000043,-1.0,0.20000000000000107,0.0,13.0,4.600000000000001,5.399999999999999,13.599999999999998,-2.799999999999997,-3.1000000000000014,-3.1000000000000014,2.1000000000000014,2.5999999999999943,5.300000000000001,-5,1,1.0
1,-6,-0.20231729055258463,-5.900000000000006,-18.099999999999994,0.15959999999999996,-2.6000000000000014,-7.100000000000001,1.6999999999999993,0.5999999999999979,-4.199999999999999,-4.0,-4.800000000000001,-5.800000000000004,-6.0,-9.100000000000001,2.3999999999999986,-2.3000000000000007,-11.200000000000003,3.5,-7,1,0.0
-1,4,0.13492063492063489,6.700000000000003,-6.5,0.14600000000000002,2.3999999999999986,-4.100000000000001,1.1999999999999993,0.40000000000000213,6.200000000000003,-5.0,-0.7999999999999972,0.6000000000000014,0.0,-3.1000000000000014,4.399999999999999,-4.699999999999996,-5.299999999999997,5.1000000000000005,-5,-1,1.0
-1,-7,-0.17983193277310916,-1.9000000000000057,-3.6999999999999886,0.03260000000000007,-5.399999999999999,-2.799999999999997,0.5000000000000018,-2.1999999999999993,-0.40000000000000213,6.399999999999999,9.600000000000001,-9.000000000000004,-6.100000000000001,-2.6000000000000014,-2.6000000000000014,-1.8999999999999986,5.1000000000000085,1.7000000000000002,-7,1,1.0
1,9,0.2333333333333334,3.0,-2.1000000000000085,0.0474,-0.7000000000000028,-4.399999999999999,-3.8000000000000007,-1.9000000000000021,6.0,-2.8999999999999986,-8.600000000000001,-4.299999999999997,0.30000000000000426,-4.100000000000001,-1.7000000000000028,-3.8000000000000043,-1.7999999999999972,3.8999999999999995,-5,-1,0.0
0,-4,-0.11428571428571432,6.299999999999997,-4.5,0.12439999999999996,2.5,0.7000000000000028,-1.4000000000000004,3.5999999999999996,-4.699999999999999,5.300000000000001,-13.699999999999996,-2.599999999999998,2.5999999999999943,-1.7999999999999972,1.7999999999999972,3.6000000000000014,-1.4000000000000057,4.8,-7,1,0.0
-1,0,0.021008403361344574,3.4000000000000057,1.1000000000000085,0.021399999999999975,6.800000000000004,4.899999999999999,0.7000000000000028,-0.09999999999999787,-8.599999999999998,-0.09999999999999787,-11.300000000000004,-15.7,5.199999999999996,4.800000000000004,6.5,3.5,5.0,3.9,-5,1,1.0
7,3,-0.07088122605363989,11.700000000000003,1.0,0.12159999999999993,0.3999999999999986,0.3999999999999986,-1.1999999999999993,-1.5,3.1999999999999993,6.100000000000001,4.200000000000003,-5.300000000000001,0.3999999999999986,1.3000000000000043,0.7999999999999972,-0.7000000000000028,4.099999999999994,6.300000000000001,-7,1,0.0
-6,0,0.11842105263157898,-2.1999999999999886,0.0,-0.026499999999999968,0.5,-4.100000000000001,0.6000000000000014,0.5,-4.100000000000001,6.799999999999997,-2.6000000000000014,-0.7999999999999972,-1.0,-6.899999999999999,1.7999999999999972,0.8000000000000043,0.19999999999998863,2.1,-5,0,1.0
7,0,-0.16396396396396395,10.300000000000011,-5.0,0.1904,-4.600000000000001,2.6999999999999957,-1.1000000000000014,5.300000000000001,4.100000000000001,2.5,-5.9999999999999964,13.600000000000001,-5.600000000000001,-2.200000000000003,-1.9000000000000057,7.100000000000001,3.4000000000000057,5.0,-7,1,0.0
0,-5,-0.1470588235294117,5.6000000000000085,-5.799999999999997,0.16469999999999996,-0.8000000000000043,-0.29999999999999716,-2.0,-0.3999999999999986,-0.6000000000000014,1.3999999999999986,-7.899999999999999,-6.0,-0.8999999999999986,-3.1000000000000014,-1.6000000000000014,3.200000000000003,-1.9000000000000057,0.0,-5,1,0.0
4,5,0.06633906633906639,-1.2000000000000028,-6.700000000000003,0.07700000000000007,-5.600000000000001,-4.400000000000006,4.100000000000001,0.6000000000000014,13.100000000000001,7.600000000000001,19.4,2.6999999999999957,-5.299999999999997,-2.299999999999997,-3.1999999999999957,-4.899999999999999,4.5,7.199999999999999,-7,1,0.0
-5,-10,-0.1773648648648649,2.799999999999997,1.1999999999999886,0.017899999999999916,-4.600000000000001,1.6000000000000014,-2.3000000000000007,-0.5999999999999979,7.0,2.3000000000000007,-3.1000000000000014,2.900000000000002,-4.399999999999999,1.6999999999999957,-3.3999999999999986,0.7999999999999972,1.7999999999999972,0.7000000000000002,-5,1,1.0
4,-3,-0.18894009216589847,5.700000000000003,-1.9000000000000057,0.10570000000000002,1.2999999999999972,1.2000000000000028,0.0,-1.6000000000000014,-6.599999999999998,3.8000000000000007,4.399999999999999,-5.800000000000001,-0.3999999999999986,-1.8000000000000043,2.6000000000000014,4.100000000000001,-2.200000000000003,2.5999999999999996,-7,1,0.0
-4,-2,0.014742014742014753,13.5,8.400000000000006,0.04599999999999993,9.600000000000001,6.099999999999994,-1.3000000000000007,-2.1000000000000014,-0.5,-4.299999999999997,-6.399999999999999,-0.8999999999999986,8.5,5.0,7.699999999999999,5.800000000000001,6.0,2.6,-5,0,1.0
3,-3,-0.1679316888045539,2.799999999999997,-6.1000000000000085,0.11649999999999994,-0.19999999999999574,-1.2999999999999972,3.1000000000000014,3.6999999999999993,5.599999999999998,1.8999999999999986,-4.299999999999997,3.8999999999999986,4.0,-3.6999999999999957,-4.0,1.5,-3.299999999999997,3.9,-7,1,0.0
3,5,0.08392857142857146,4.599999999999994,-1.0,0.06109999999999993,1.5999999999999943,-3.1000000000000014,0.5,0.10000000000000142,2.1999999999999957,0.8000000000000007,-2.5,12.0,-1.5,-4.0,4.600000000000001,-0.9000000000000057,-0.5999999999999943,3.9,-5,0,0.0
1,-6,-0.20231729055258463,7.700000000000003,-2.799999999999997,0.1552,-1.2999999999999972,1.3999999999999986,2.0,-1.0,9.500000000000004,3.200000000000003,6.0000000000000036,-0.6000000000000014,-3.0,0.10000000000000142,0.9000000000000057,2.4000000000000057,5.5,5.1,-7,1,1.0
2,-4,-0.16727941176470584,-3.3000000000000114,-7.700000000000003,0.07369999999999999,-6.200000000000003,-2.8000000000000043,4.199999999999999,-1.9000000000000004,8.8,-0.1999999999999993,4.299999999999997,-0.7999999999999972,-8.400000000000006,-2.5,-2.1000000000000014,-2.5,-4.799999999999997,3.0,-5,1,0.0
-4,-2,0.018575851393188847,0.10000000000000853,-3.1000000000000085,0.040200000000000014,-0.8999999999999986,-1.1999999999999957,-3.200000000000001,-3.6999999999999993,-5.100000000000001,-2.3000000000000007,-2.099999999999998,-8.099999999999998,-1.8999999999999986,-4.699999999999996,0.7999999999999972,2.5,-0.4000000000000057,7.4,-7,0,1.0
2,4,0.07516339869281041,1.5,2.6000000000000085,-0.018900000000000028,-0.5999999999999943,1.5,0.6999999999999993,1.6999999999999993,-0.8999999999999986,4.699999999999999,5.299999999999997,-0.9000000000000021,1.4000000000000057,0.5,-2.5999999999999943,2.1999999999999957,1.0,4.4,-5,1,0.0
6,0,-0.1398601398601399,9.5,-3.0,0.12649999999999995,0.29999999999999716,2.8000000000000043,-1.0,5.5,-5.399999999999999,10.299999999999997,-3.700000000000003,3.8999999999999986,-5.0,3.3999999999999986,4.100000000000001,1.2999999999999972,2.200000000000003,4.699999999999999,-7,1,0.0
