G,W,WIN_PER,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POWER,TRAIN
4,8,0.15625,4.300000000000011,-9.399999999999991,0.2088000000000001,-3.0,-0.7000000000000028,-1.0,4.100000000000001,4.700000000000003,0.10000000000000142,8.500000000000004,-2.0,0.6000000000000014,0.8999999999999986,-7.5000000000000036,-3.3000000000000007,1.6999999999999957,10.399999999999999,-9,1,0.0
4,15,0.32600732600732607,24.5,-12.700000000000003,0.5478000000000001,6.5,-2.799999999999997,-3.5,-3.1999999999999993,4.799999999999997,-5.699999999999999,4.299999999999997,-13.700000000000003,8.5,-2.0,1.2000000000000028,-2.700000000000003,0.4000000000000057,19.299999999999997,-15,1,0.0
6,13,0.24149956408020934,19.400000000000006,-7.6000000000000085,0.44630000000000003,8.199999999999996,-3.8999999999999986,0.10000000000000142,0.6000000000000014,7.799999999999997,4.300000000000001,3.0,-0.1999999999999993,11.5,-3.0,1.7999999999999972,-3.200000000000003,3.700000000000003,11.7,-13,0,0.0
-1,6,0.19243697478991606,14.200000000000003,-4.5,0.33819999999999995,6.699999999999996,0.0,-4.300000000000001,-1.1999999999999993,-5.900000000000002,-3.5,0.7999999999999972,-9.600000000000001,7.699999999999996,-2.1999999999999957,3.0,2.8000000000000043,4.5,14.5,-11,1,1.0
1,-1,-0.05208333333333337,2.5,-14.099999999999994,0.3297,-3.8000000000000043,-5.199999999999996,3.299999999999999,2.3999999999999986,4.9999999999999964,0.3000000000000007,8.699999999999996,8.100000000000001,-1.7000000000000028,-6.100000000000001,-4.0,-2.5,-3.9000000000000057,6.300000000000001,-9,1,0.0
4,21,0.48864468864468874,25.5,-18.299999999999997,0.6902999999999999,5.899999999999999,-6.799999999999997,-3.8999999999999986,1.1999999999999993,7.699999999999999,0.9000000000000021,0.10000000000000142,-13.8,5.600000000000001,-5.399999999999999,4.5,-6.799999999999997,-6.099999999999994,25.7,-15,1,0.0
4,6,0.09375,9.699999999999989,-7.5,0.26949999999999996,-1.2000000000000028,-1.7999999999999972,-2.6000000000000014,-3.1000000000000014,-4.399999999999999,0.6000000000000014,-1.6999999999999957,1.2999999999999972,-2.8999999999999986,-3.0,1.6999999999999957,0.6999999999999993,3.200000000000003,13.5,-13,1,0.0
3,9,0.18496240601503755,18.299999999999997,-2.4000000000000057,0.2815000000000001,3.799999999999997,-1.8999999999999986,-7.0,1.8000000000000007,-2.200000000000003,6.900000000000002,-4.699999999999996,-0.8999999999999986,5.200000000000003,-1.7000000000000028,0.3999999999999986,-1.7999999999999972,0.29999999999999716,13.2,-11,1,0.0
4,3,-0.006451612903225712,5.200000000000003,-0.5,0.09130000000000005,-0.09999999999999432,0.29999999999999716,-0.10000000000000142,-1.4000000000000021,-5.800000000000004,3.1000000000000014,7.899999999999999,-5.299999999999997,0.0,1.8000000000000043,-0.7999999999999972,-1.5999999999999979,1.3999999999999986,6.800000000000001,-9,1,0.0
10,16,0.2333333333333334,24.599999999999994,-9.400000000000006,0.43410000000000004,4.799999999999997,0.0,-5.1,-1.0999999999999979,-2.6999999999999957,-4.300000000000001,-2.6999999999999957,-12.600000000000001,6.699999999999996,-1.0999999999999943,0.6000000000000014,3.700000000000003,-4.799999999999997,16.4,-15,1,0.0
