TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
North Texas,Amer,36,27,109.7,98.9,0.7681,51.1,47.3,16.7,19.6,32.7,28.1,35.3,37.0,49.3,47.9,36.1,30.8,60.8,-1.7,,,2022
Wake Forest,ACC,32,21,107.7,97.4,0.7608,49.4,47.2,16.7,19.7,26.8,31.5,36.1,31.5,52.9,48.2,28.5,30.7,67.4,0.6,,,2022
Pittsburgh,ACC,32,17,113.9,103.1,0.7599,52.2,51.1,14.8,18.3,29.0,29.9,34.2,32.8,52.4,50.4,34.6,34.7,66.7,-3.8,,,2022
George Mason,A10,36,27,106.3,96.3,0.7577,51.7,45.6,19.8,19.2,31.8,29.3,42.7,31.4,50.9,45.0,35.4,31.0,65.0,-0.4,,,2022
TCU,B12,32,16,106.3,96.3,0.7562,46.8,50.9,17.3,19.5,33.0,29.6,33.5,28.3,47.8,53.4,30.0,31.6,66.7,-1.7,,,2022
South Carolina,SEC,32,12,110.1,99.8,0.7558,48.9,51.5,18.4,15.6,30.4,27.3,43.3,30.4,49.8,51.1,31.6,34.8,65.7,-5.5,,,2022
Stanford,ACC,35,21,112.5,102.5,0.7449,50.7,50.5,15.6,17.4,30.9,28.4,29.9,35.5,50.2,50.7,34.2,33.4,66.4,-2.7,,,2022
Butler,BE,35,15,117.0,106.7,0.7423,53.7,50.1,16.2,11.4,26.1,28.9,36.8,21.3,52.4,51.5,37.0,31.8,67.8,-6.1,,,2022
Yale  ,Ivy,30,22,114.0,104.1,0.7395,54.7,49.1,14.5,16.1,32.7,25.9,31.8,28.9,53.3,48.2,38.4,33.4,67.7,-2.6,,,2022
Dayton,A10,34,23,114.9,105.4,0.7305,53.0,51.1,15.5,17.6,29.4,28.6,37.4,31.4,52.1,52.5,36.1,32.9,66.1,-1.6,,,2022
LSU,SEC,32,14,108.7,99.8,0.7269,51.1,48.3,18.6,16.5,29.5,34.3,32.5,29.5,55.2,48.2,30.5,32.3,68.4,-3.9,,,2022
High Point  ,BSth,35,29,117.7,108.2,0.7258,56.3,49.1,15.3,16.4,33.6,30.6,37.2,36.3,57.3,48.9,36.6,32.9,66.6,-1.7,,,2022
Colorado,B12,35,14,108.4,99.6,0.7251,50.4,49.9,21.0,16.2,29.2,28.3,35.8,34.4,51.8,49.1,32.1,34.1,67.9,-4.4,,,2022
Saint Joseph's,A10,35,22,109.7,100.9,0.723,51.6,46.9,16.4,16.2,30.3,27.9,31.7,25.9,52.8,45.3,33.5,33.4,68.3,-4.8,,,2022
Minnesota,B10,32,15,110.2,101.4,0.7218,49.9,50.1,16.6,16.3,30.2,30.6,31.5,33.0,50.7,49.2,32.2,34.5,63.0,-3.9,,,2022
UC Irvine,BW,39,32,105.8,97.4,0.7218,51.7,45.8,18.0,17.2,27.9,26.5,36.0,22.4,50.7,42.8,35.6,33.9,69.2,0.12,,,2022
Bradley,MVC,37,28,111.8,103.1,0.7161,56.7,47.7,17.4,15.6,26.1,28.0,32.4,35.0,54.6,47.2,39.7,32.3,66.0,-1.6,,,2022
Oklahoma St.,B12,35,17,108.0,99.7,0.7154,48.6,53.0,19.0,20.3,31.1,29.6,41.0,36.4,48.0,53.1,33.1,35.3,71.8,-3.4,,,2022
Arkansas St.,SB,36,25,111.0,102.7,0.7097,49.6,46.1,14.7,17.0,33.7,30.3,33.1,37.1,50.6,46.4,32.2,30.3,70.0,-4.4,,,2022
Nevada,MWC,33,17,112.2,104.2,0.7013,53.7,51.3,15.5,18.7,27.4,26.5,37.3,37.9,55.3,49.5,34.1,35.7,64.1,-6.5,,,2022
Grand Canyon  ,WAC,34,26,107.9,100.2,0.7011,50.7,47.3,18.5,20.3,32.4,28.9,43.6,32.4,52.6,46.7,31.3,32.3,71.5,-2.5,,,2022
Oregon St.,WCC,33,20,115.8,108.0,0.6921,54.5,51.0,16.7,16.4,32.0,27.7,38.7,31.8,54.7,50.1,36.1,34.8,64.0,-4.2,,,2022
UNLV,MWC,33,18,106.7,99.5,0.6915,49.7,49.3,16.2,17.8,27.3,29.8,35.8,32.0,49.6,50.5,33.3,31.9,66.0,-5.1,,,2022
Loyola Chicago,A10,37,25,108.9,101.8,0.6863,52.7,48.8,17.2,17.3,29.3,27.7,31.6,33.3,53.9,47.6,34.0,33.7,67.1,-4.7,,,2022
UAB,Amer,37,24,116.5,108.9,0.6831,50.2,51.2,13.8,15.2,37.7,30.3,31.3,28.5,49.8,50.4,34.0,35.0,69.5,-6.1,,,2022
Florida St.,ACC,32,17,107.8,100.9,0.6799,50.7,48.5,17.4,19.1,29.7,31.8,39.4,37.5,52.3,48.9,31.7,32.0,69.9,-5.3,,,2022
Georgetown,BE,34,18,107.6,101.1,0.6718,50.4,49.7,17.0,19.3,31.6,28.9,25.6,29.7,51.5,49.2,32.3,33.6,68.5,-4.6,,,2022
Virginia,ACC,32,15,111.4,104.7,0.6693,52.7,50.8,16.4,15.7,22.4,29.7,26.4,28.8,49.9,50.6,37.5,34.1,61.2,-5.7,,,2022
Troy  ,SB,34,23,106.5,100.3,0.6676,49.8,47.5,19.8,19.6,38.1,31.7,37.0,29.2,53.6,46.5,30.1,32.8,66.4,-4.1,,,2022
