TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED
Rutgers,B10,31,18.0,105.7,95.3,0.7675,49.5,48.3,17.3,18.2,29.3,27.1,26.9,28.8,49.1,46.5,33.6,34,65,-0.3,11
New Mexico St.,WAC,29,26.0,106.3,97.1,0.7403,52.2,45.5,20.7,16.9,33.3,26.2,35.4,27.8,54.1,45.8,33,30,66.2,0.9,12
Georgia St.,SB,25,18.0,100.9,98,0.583,45.1,49.7,16.9,22.7,32.8,30.7,30.2,32.8,43.1,45.4,32.3,37.9,67.1,-5,16
Montana St.,BSky,32,27.0,103.5,101.2,0.5661,54.1,48.6,18.5,18.3,26.7,23.3,40.5,36.2,53.2,48.2,37.2,32.8,66.9,-2.7,14
Cal St. Fullerton,BW,29,21.0,102,102.8,0.4772,49.2,50.8,18.1,20.2,29,28,35.7,26.1,48.7,48,33.5,37.1,66,-4.8,15
Kansas,B12,34,28.0,119.8,93.1,0.9476,54.1,46.9,17.8,18.4,33.4,28.9,32.8,27.8,54.5,47.9,35.5,30.1,69,10.1,1
Auburn,SEC,32,27.0,112.5,89.7,0.9315,50.3,44.1,16.7,20.7,33.2,29.3,31.6,34.8,51.9,42.6,32,31.2,69.9,7.7,2
Iowa,B10,35,26.0,121.7,97,0.9312,53.6,49.8,12.9,19.3,32.2,30.2,30.4,26.2,52.6,50,36.8,32.9,69.7,5,5
LSU,SEC,33,22.0,106.4,89.4,0.8798,49.5,45.1,20.4,25.3,33.7,31.2,33,38.4,50.5,47.7,31.9,28,68.7,2.4,6
San Diego St.,MWC,31,23.0,102.3,86.3,0.8764,48.8,44,19.3,21.7,29.6,27,31.3,30.6,46.6,43.1,35.8,30.4,65.2,3.1,8
Wisconsin,B10,31,24.0,110.1,93.8,0.8638,48.2,49.4,12.7,16.9,25.8,24,32.3,27.7,48.9,49.9,31.3,32.3,66.4,6.7,3
Providence,BE,30,25.0,111.8,97.7,0.8253,50.3,46.7,17.3,15.8,30.5,28,38.5,26.3,49.6,46.6,34.3,31.2,65.4,6,4
Iowa St.,B12,32,20.0,102.9,90.3,0.819,49.9,48.4,20.4,24.5,28.2,28.5,28.1,36.2,50.9,50.7,32.1,29.6,66.2,2.5,11
Miami FL,ACC,33,23.0,114.1,100.6,0.8092,54.2,53.4,14.2,20.3,23.4,30.3,28.9,24.6,54.9,53.9,35.3,35.2,67.4,2.1,10
Creighton,BE,33,22.0,103.8,91.7,0.8062,50.9,44.9,20.5,15.5,28.6,28.4,26,20.3,53.9,43.5,30.7,31.7,66.8,2,9
USC,P12,33,26.0,109.1,96.6,0.8027,51.1,44.7,17.7,14.7,33.8,27.2,30.9,26.3,50.1,41.6,35.4,33.7,66,4.3,7
South Dakota St.,Sum,32,30.0,115.2,103.7,0.7704,59.7,51.5,15.3,15.8,24,24.2,35.2,21.3,56.3,50.6,44.2,35.2,69.6,1.8,13
Richmond,A10,35,23.0,108,99.5,0.7186,51.5,50.5,14.4,18.9,22.4,27.2,30.9,23.5,52.2,50,33.8,34.3,66.7,-1.5,12
Colgate,Pat,33,23.0,106.5,103.1,0.5917,55.9,49,16.9,16.2,26.5,24.8,26.8,24.3,52.7,48.2,40.2,33.7,67.1,-6.2,14
Jacksonville St.,ASun,29,21.0,104.4,102.2,0.561,54.2,48,20,17.1,28.3,26.2,32.2,21.1,51.8,47.4,38.2,32.5,65.1,-5.1,15
Texas Southern,SWAC,30,18.0,96.9,98.7,0.4468,48.7,44.9,21.4,17.4,33.8,28.2,32.7,34.3,49.2,45.2,31.7,29.5,67.6,-6.6,16
Texas A&M Corpus Chris,Slnd,30,23.0,96.5,102.8,0.3254,47.3,49.1,19.9,22.7,34.7,29,38.4,41.6,47.3,50.5,31.6,31.5,68.8,-7.5,16
