,TEAM,CONF,POSTSEASON,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED
29,North Carolina,ACC,R64,28,18,108.8,91.6,0.8777,48.5,48.7,20.5,19.3,41.2,26.3,34.9,27.1,48.9,46.8,31.7,34.4,71.8,2.3,8.0
30,LSU,SEC,R32,27,18,119.3,99.8,0.8868,52.8,48.5,16.1,18.4,31.5,32.8,33.9,29.1,53.0,51.3,35.0,30.0,70.4,2.4,8.0
31,Loyola Chicago,MVC,S16,26,24,108.5,88.3,0.9136,56.3,46.7,18.5,21.6,26.0,21.0,30.7,22.4,58.0,45.5,35.7,32.5,63.9,1.7,8.0
32,St. Bonaventure,A10,R64,20,16,111.1,92.9,0.8864,50.5,45.5,16.9,19.5,33.6,28.4,27.8,28.3,49.3,45.1,35.4,30.6,64.7,2.1,9.0
33,Missouri,SEC,R64,25,16,111.3,95.0,0.8599,50.9,48.5,18.9,18.4,28.6,29.2,37.5,36.4,52.6,48.3,32.0,32.7,68.6,2.1,9.0
34,Wisconsin,B10,R32,29,17,111.3,90.4,0.9163,49.4,47.9,13.5,17.8,23.7,25.1,26.9,28.5,46.3,47.1,36.0,33.0,65.0,2.2,9.0
35,Georgia Tech,ACC,R64,25,17,113.0,94.8,0.882,53.9,52.2,15.9,22.7,24.8,29.7,29.0,28.9,54.8,50.7,34.9,36.7,67.7,1.9,9.0
36,Rutgers,B10,R32,26,15,106.7,91.9,0.847,50.2,47.7,16.4,18.9,27.4,29.1,27.7,33.2,51.9,47.4,31.1,32.1,67.8,1.9,10.0
37,Virginia Tech,ACC,R64,21,15,109.3,94.5,0.8426,52.5,48.4,17.3,17.6,28.4,24.3,33.2,30.9,51.7,47.6,35.7,33.0,66.5,0.9,10.0
38,Maryland,B10,R32,28,16,110.0,93.0,0.8735,52.6,48.5,16.8,16.9,20.9,24.8,32.6,25.6,52.8,46.4,34.9,34.3,65.4,0.2,10.0
39,VCU,A10,R64,26,19,104.6,89.7,0.8540000000000001,50.9,45.8,20.6,23.5,28.3,31.3,34.0,35.4,51.7,45.9,32.9,30.5,70.0,1.3,10.0
42,Syracuse,ACC,S16,25,16,112.8,97.6,0.8402,50.7,48.5,16.0,20.8,30.1,33.5,28.1,25.1,50.9,49.3,33.7,31.6,69.4,0.5,11.0
43,UCLA,P12,F4,26,17,112.3,97.5,0.835,52.0,50.7,16.6,17.6,30.4,24.4,32.6,28.0,50.6,49.4,36.7,35.1,64.7,1.0,11.0
44,Utah St.,MWC,R64,27,20,105.2,90.0,0.8569,49.8,45.6,19.7,19.7,35.3,21.3,29.4,26.1,49.6,42.9,33.6,33.0,69.0,-1.1,11.0
45,Drake,MVC,R64,27,25,111.8,101.6,0.7508,54.5,48.4,15.2,18.8,31.6,24.9,25.2,29.7,54.4,49.7,36.6,30.8,66.7,1.5,11.0
46,Georgetown,BE,R64,25,13,108.5,93.2,0.8516,49.6,48.0,21.7,16.2,32.4,27.3,30.3,25.9,46.1,47.4,36.6,32.6,69.5,-1.0,12.0
47,Oregon St.,P12,E8,28,17,108.5,99.6,0.7289,48.7,50.4,17.2,18.5,29.8,29.4,34.0,38.2,46.9,52.5,34.6,31.4,65.1,-1.6,12.0
48,UC Santa Barbara,BW,R64,24,22,107.9,97.6,0.7615,53.0,47.7,16.5,20.8,28.2,24.5,35.5,28.0,53.4,46.6,34.8,33.4,65.8,-0.2,12.0
49,Winthrop,BSth,R64,24,23,104.2,96.9,0.6975,53.0,49.0,19.5,22.5,35.6,22.2,35.7,33.8,53.0,49.2,35.3,32.4,73.8,0.9,12.0
50,Ohio,MAC,R32,22,16,111.9,100.7,0.7715,55.8,51.1,17.0,20.0,28.7,27.4,29.6,30.2,56.4,51.6,36.6,33.7,69.3,-2.0,13.0
51,North Texas,CUSA,R32,25,17,104.4,94.6,0.7578,54.0,45.7,20.4,21.4,27.9,26.9,27.2,31.7,52.9,44.8,37.3,31.6,63.3,-2.5,13.0
52,UNC Greensboro,SC,R64,29,21,102.3,97.5,0.6353,48.2,48.1,15.6,21.0,32.4,25.9,23.8,36.4,50.3,48.3,30.0,31.9,68.3,-3.5,13.0
53,Liberty,ASun,R64,24,23,109.1,101.5,0.6969,57.4,48.0,15.6,17.3,23.1,22.4,25.5,29.6,56.8,47.8,38.8,32.2,63.4,-1.7,13.0
54,Colgate,Pat,R64,15,14,110.8,100.0,0.7641,57.1,45.7,13.8,16.6,27.9,25.6,31.1,25.1,55.4,49.5,40.2,26.1,71.9,0.3,14.0
55,Eastern Washington,BSky,R64,22,16,107.7,101.1,0.6729,54.1,47.5,16.5,16.5,23.9,25.8,30.4,27.7,54.2,47.6,35.9,31.6,72.2,-3.6,14.0
56,Abilene Christian,Slnd,R32,23,23,101.8,94.7,0.6977,52.9,45.4,19.4,26.7,30.6,27.9,34.0,42.5,50.8,46.3,37.7,29.1,70.0,-1.1,14.0
57,Morehead St.,OVC,R64,28,23,99.3,96.7,0.5778,51.9,47.0,22.9,18.0,31.3,24.9,36.8,23.1,51.8,47.6,34.7,30.7,65.6,-2.0,14.0
58,Iona,MAAC,R64,17,12,101.1,99.5,0.545,51.2,45.6,22.4,19.6,33.4,26.1,36.1,46.3,49.9,45.8,35.5,30.1,68.5,-3.2,15.0
59,Oral Roberts,Sum,S16,23,16,107.0,107.1,0.4981,53.6,50.4,15.7,18.2,23.2,33.0,27.8,33.1,49.7,49.0,38.8,35.6,71.4,-5.1,15.0
60,Grand Canyon,WAC,R64,20,17,102.7,96.0,0.6852,53.0,44.9,20.4,16.6,32.4,22.6,34.7,29.6,55.7,44.9,32.2,29.9,65.4,-3.2,15.0
61,Cleveland St.,Horz,R64,26,19,99.9,100.7,0.4785,50.6,48.9,18.5,20.2,30.9,31.8,31.9,37.2,52.1,50.9,31.9,30.8,66.2,-2.7,15.0
62,Drexel,CAA,R64,19,12,107.9,105.0,0.5768,54.3,49.6,19.6,16.4,29.4,24.3,28.5,27.2,53.5,50.4,37.2,32.1,64.4,-4.5,16.0
64,Hartford,AE,R64,23,15,97.3,99.6,0.4345,50.4,47.6,19.0,20.4,24.8,28.6,28.6,25.0,51.3,50.7,32.7,28.7,66.9,-4.9,16.0
65,Norfolk St.,MEAC,R64,21,16,99.4,104.1,0.3698,49.7,47.4,17.8,20.7,28.8,28.7,38.6,42.0,46.1,47.2,37.4,31.7,67.9,-5.0,16.0
66,Texas Southern,SWAC,R64,23,16,97.3,103.5,0.3307,48.3,46.5,21.4,19.2,32.9,25.7,38.9,33.8,51.0,45.2,27.7,32.4,71.8,-4.5,16.0
