TEAM,CONF,POSTSEASON,G,W,WIN_PER,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POWER,YEAR,R64,R32,S16,E8,F4,C2,Champions,games_won
Oklahoma St.,B12,R64,33,24,0.7272727272727273,107.1,88.6,0.8983,48.8,44.5,18.2,21.7,31.3,30.8,40.5,35.1,49.5,42.4,31.6,32.4,67.3,3.2,5,1,2013,1,0,0,0,0,0,0,1
Memphis,CUSA,R32,36,31,0.8611111111111112,106.1,90.2,0.8672,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,51.1,43.8,37.2,33.0,69.3,4.5,6,0,2013,1,1,0,0,0,0,0,2
Creighton,MVC,R32,36,28,0.7777777777777778,116.4,95.0,0.9117,58.2,45.9,18.9,16.1,28.8,27.2,34.2,26.1,55.7,45.5,41.4,31.2,65.2,3.5,7,0,2013,1,1,0,0,0,0,0,2
Colorado St.,MWC,R32,33,24,0.7272727272727273,116.6,98.4,0.8759,49.2,48.6,17.2,16.5,41.4,23.2,44.1,36.4,48.4,47.1,34.1,34.1,64.8,1.9,8,0,2013,1,1,0,0,0,0,0,2
Missouri,SEC,R64,34,23,0.6764705882352942,113.3,95.2,0.8815,51.2,46.1,18.9,17.6,38.7,28.6,35.0,29.7,51.4,44.1,33.9,33.2,67.7,1.2,9,1,2013,1,0,0,0,0,0,0,1
Cincinnati,BE,R64,34,22,0.6470588235294118,104.5,88.3,0.873,46.2,43.3,19.4,20.3,38.7,29.8,35.5,32.7,45.5,42.3,31.6,30.4,65.5,1.7,10,1,2013,1,0,0,0,0,0,0,1
Saint Mary's,WCC,R64,34,27,0.7941176470588235,113.9,94.9,0.891,53.7,47.1,18.3,17.9,36.9,25.0,37.0,36.9,52.3,44.0,37.3,36.7,64.8,2.5,11,0,2013,1,0,0,0,0,0,0,1
Oregon,P12,S16,37,28,0.7567567567567568,104.8,88.6,0.8728,49.3,46.4,21.4,22.0,35.8,27.2,38.4,33.3,49.1,44.9,33.3,33.4,69.2,2.9,12,1,2013,1,1,1,0,0,0,0,3
New Mexico St.,WAC,R64,34,23,0.6764705882352942,102.5,95.3,0.6992,49.3,45.4,21.9,18.6,36.9,29.8,47.0,30.7,49.8,43.2,31.8,33.9,65.1,-3.1,13,0,2013,1,0,0,0,0,0,0,1
Valparaiso,Horz,R64,33,25,0.7575757575757576,107.8,97.9,0.7514,55.7,46.2,21.8,19.5,31.2,28.2,41.7,36.8,55.7,44.5,37.1,33.8,65.6,-0.8,14,0,2013,1,0,0,0,0,0,0,1
Albany,AE,R64,35,24,0.6857142857142857,101.2,98.7,0.5722,49.6,48.3,21.2,19.9,31.7,28.2,40.0,27.8,46.7,47.6,37.0,33.1,63.2,-4.5,15,0,2013,1,0,0,0,0,0,0,1
